# Large batch test — 500 active LOINC codes sampled across clinical domains
# Source: LOINC 2.82, ACTIVE status only
# Classes represented: chemistry, microbiology, hematology, drug/tox,
#   serology, allergy, radiology, H&P, panels, coagulation, urinalysis,
#   cardiology, respiratory, vital signs, pathology, and more

39129-2  # Moisture of Skin
56668-7  # Alpha aminoadipate/Creatinine [Ratio] in 24 hour Urine
16866-6  # Fibrinopeptide B beta (43-47) Ag [Units/volume] in Platelet poor plasma by Immunoassay
6003-8  # Platelet factor 4 Ag [Mass/volume] in Platelet poor plasma by Immunoassay
23903-8  # Monocytes+Macrophages/Leukocytes in Specimen by Manual count
92918-2  # CT Guidance for aspiration of Kidney - left
55103-6  # Surgical operation note estimated blood loss Narrative
12629-2  # Glucose [Mass/volume] in 24 hour Peritoneal dialysis fluid
36640-1  # RF Cervical spine Views
81167-9  # Cancer treatment --preoperative
106503-6  # Do a load of laundry
38876-9  # Respiratory contraindications to elevating head of bed greater than 30 degrees
43124-7  # Cystine panel - Urine
51910-8  # Erythrocytes [#/area] in Bronchoalveolar lavage by Microscopy high power field
45458-7  # Medicare ancillary part A [Minimum Data Set]
83317-8  # Sexual activity with anonymous partner in the past year
80404-7  # R-R interval.standard deviation (Heart rate variability)
3962-8  # Phenylephrine [Mass/volume] in Urine
8681-9  # History of Nervous system disorders
9275-9  # Breath rate method
70701-8  # I have hidden this problem so others will not notice in the past 7 days [FACIT]
49307-2  # Myocardium Ab pattern [Interpretation] in Serum Narrative
28831-6  # Right glasses lens prescription Visual acuity far
35313-6  # Lipase [Enzymatic activity/volume] in Body fluid --5th specimen post Sincalide
107876-5  # White bean IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
101692-2  # Maximum heart rate
4000-6  # Protriptyline [Presence] in Serum or Plasma
89409-7  # Eating - functional goal during assessment period [CMS Assessment]
70848-7  # My doctor explained the possible benefits of my treatment in the past 7 days [FACIT]
134-7  # cefTAZidime [Susceptibility] by Disk diffusion (KB)
8866-6  # Arterial pulse quality by palpation
10933-0  # Guar gum IgE Ab [Units/volume] in Serum
40456-6  # Beta 2 glycoprotein 1 Ab [Units/volume] in Serum
10251-7  # Heart rate device Vendor serial number
8361-8  # Body position with respect to gravity
24904-5  # CT Pituitary and Sella turcica WO and W contrast IV
31470-8  # Legionella pneumophila 9 Ab [Units/volume] in Serum
20407-3  # Nitrite [Mass/volume] in Urine by Test strip
84122-1  # Geriatric medicine Team Note
82768-3  # Lab order priority [Type]
89860-1  # CT Chest W inspiration and expiration
13268-8  # Mycoplasma pneumoniae Ab [Units/volume] in Serum --1st specimen
38885-0  # Extubation urgency
40306-3  # Somatotropin [Mass/volume] in Serum or Plasma --3 hours post dose arginine
73502-7  # Bivalirudin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
88763-8  # Amount of hip pain experienced while at night while in bed in the last week [HOOS]
88207-6  # Lymphocytic choriomeningitis virus RNA [Presence] in Cerebral spinal fluid by NAA with probe detection
112488-2  # Do you experience a worsening of your fatigue or energy related illness after engaging in minimal physical effort
105339-6  # Chlamydia trachomatis L1 DNA [Presence] in Specimen by NAA with probe detection
102160-9  # Barley Pollen IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)
96697-8  # Rate of fibrin formation [Units] in Blood
38996-5  # Neutrophils [Presence] in Urine by Light microscopy
8669-4  # History of Eyes disorders
12184-8  # Choriogonadotropin [Presence] in Body fluid
6059-0  # Candida albicans IgE Ab [Units/volume] in Serum
8480-6  # Systolic blood pressure
31880-8  # Measles virus Ag [Presence] in Penis
3479-3  # Chlorthalidone [Mass/volume] in Urine
90785-7  # Cystinuria panel - 24 hour Urine
97793-4  # AO modifiers
45675-6  # Allergies
13052-6  # Protein S/Coagulation factor IX [Mass Ratio] in Platelet poor plasma by Coagulation assay
93679-9  # Number of visits to the emergency department in last 6 months
8357-6  # Blood pressure method
40109-1  # aPTT in Platelet poor plasma by Coagulation assay --12 hours post XXX challenge
25670-1  # Glucose [Mass/volume] in Urine --30 minutes post dose glucose
70771-1  # I have had to work really hard to pay attention or I would make a mistake in the past 7 days [FACIT]
41163-7  # Treponema pallidum DNA [Presence] in Specimen by NAA with probe detection
31102-7  # Protein S actual/normal in Platelet poor plasma by Chromogenic method
10324-2  # Breath rate device Institution inventory number
12255-6  # Volume of 5 hour Urine
12959-3  # Triiodothyronine (T3) [Mass/volume] in Serum or Plasma --8th specimen post XXX challenge
4316-6  # Metaraminol [Mass] of Dose
92672-5  # Hydroxyglutarates and glutarate and ethylmalonate and methylsuccinate panel - DBS
95529-4  # Tobacco use in the past year
4826-4  # HLA-B38(16) [Presence] in Donor
25153-8  # Cholesterol crystals [#/area] in Urine sediment by Microscopy high power field
93977-7  # Complement C2.functional [Units/volume] in Serum or Plasma
8867-4  # Heart rate
94651-7  # Country of travel [Location]
100888-7  # Monkeypox virus clade II DNA [Presence] in Specimen by NAA with probe detection
38439-6  # Barbiturates [Presence] in Meconium by Confirmatory method
43416-7  # Hematocrit [Volume Fraction] of Stem cell product by calculation
56521-8  # 11-Deoxycortisol [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge
81760-1  # Lymphocyte proliferation.anti-CD3.maximum/CD45 in Blood by Flow cytometry (FC)
19889-5  # Carbon dioxide/Gas.total.at end expiration in Exhaled gas
